0,true,prediction by hmm,prediction with our model,sentence
308,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]","['she', 'did', ""n't"", 'buy', 'any', 'toys', 'for', 'josh', 'because', 'she', 'had', 'decided', 'to', 'open', 'a', 'toy', 'shop', '.']"
309,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","['as', 'well', 'as', 'fighting', 'for', 'more', 'money', ',', 'her', 'task', 'was', 'to', 'ensure', 'that', 'every', 'last', 'pound', 'was', 'spent', 'as', 'effectively', 'as', 'it', 'could', 'be', '.']"
310,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","['the', 'englishman', 'snorted', '.']"
311,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","['i', 'squelched', 'across', 'tiny', 'burns', 'running', 'in', 'black', 'channels', 'of', 'peat', ',', 'and', 'stood', 'looking', 'down', 'from', 'the', 'hillside', 'on', 'to', 'the', 'grey', 'roofs', 'of', 'scaup', 'farm', '.']"
312,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","['she', 'and', 'her', 'boyfriend', 'have', 'had', 'their', 'future', 'planned', 'for', 'some', 'time', ':', 'they', 'want', 'to', 'start', 'farming', 'in', 'a', 'nearby', 'village', ',', 'where', 'they', 'also', 'intend', 'to', 'build', 'a', 'bungalow', '.']"
313,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","['thank', 'god', 'it', ""'s"", 'saturday', '.']"
314,"[0, 0]","[0, 0]","[0, 0]","['i', 'mean']"
315,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","['i', 'wo', ""n't"", 'go', 'anywhere', 'with', ',', 'i', 'do', ""n't"", 'want', 'to', 'go', 'without', 'him', '!']"
316,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]","['the', 'literature', 'of', 'the', 'last', 'few', 'years', 'is', 'thronged', 'with', 'papers', 'proposing', 'that', 'these', 'must', 'be', 'taken', 'into', 'account', 'but', 'with', 'few', 'realistic', 'proposals', 'on', 'how', 'this', 'is', 'to', 'be', 'achieved', '.']"
317,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","['you', 'sure', 'know', 'how', 'to', 'give', 'a', 'girl', 'a', 'good', 'time', '.']"
318,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]","['does', 'that', 'mean', 'he', 'may', 'lay', 'an', 'information', 'and', 'bring', 'the', 'matter', 'before', 'the', 'magistrates', 'without', 'first', 'putting', 'the', 'person', 'alleged', 'to', 'be', 'in', 'default', 'on', 'notice', 'of', 'what', 'is', 'alleged', '?']"
319,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","['some', 'agencies', 'deduct', 'it', 'every', 'month', ',', 'others', 'want', 'it', 'all', 'up', 'front', ',', 'so', 'shop', 'around', '.']"
320,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","['he', 'is', 'working', 'on', 'a', 'scheme', 'with', 'the', 'national', 'federation', 'of', 'wi', 'to', 'organise', 'a', 'competition', 'to', 'celebrate', 'next', 'year', ""'s"", '75th', 'anniversary', 'by', 'offering', '10', 'telecottages', 'as', 'prizes', 'for', 'its', '9,000', 'branches', 'and', 'he', 'is', 'hoping', 'the', 'wi', 'will', 'establish', 'a', 'pilot', 'telecottage', 'near', 'its', 'college', 'in', 'denman', ',', 'oxfordshire', '.']"
321,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","['it', 'was', 'grizel', 'huntley', ""'s"", 'own', 'view', 'that', 'her', 'brother', 'had', 'not', 'been', 'fooled', 'at', 'all', 'but', 'had', 'been', 'charmed', 'and', 'diverted', 'by', 'a', 'dashing', 'girl', 'thirty', 'years', 'his', 'junior', ',', 'and', 'had', 'seen', 'no', 'reason', 'at', 'all', 'why', 'she', 'should', 'not', 'have', 'a', 'share', 'of', 'his', 'considerable', 'estate', 'when', 'that', 'left', 'a', 'very', 'decent', 'down-setting', 'for', 'his', 'niece', 'as', 'well', '.']"
322,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","['the', 'plaque', 'was', 'unadorned', ',', 'the', 'letters', 'deeply', 'carved', 'in', 'an', 'elegant', 'script', 'reminiscent', 'of', 'eric', 'gill', ',', 'and', 'dalgliesh', 'remembered', 'his', 'aunt', 'telling', 'him', 'that', 'it', 'had', 'been', 'placed', 'there', 'by', 'previous', 'owners', 'in', 'the', 'late', 'twenties', ',', 'when', 'the', 'cottage', 'was', 'originally', 'extended', '.']"
323,"[0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0]","['well', ',', 'she', ""'s"", 'a', 'totally', 'snowed', 'under']"
324,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","['bobby', 'robson', 'was', 'there', 'to', 'assess', 'world', 'cup', 'candidates', ',', 'but', 'nothing', 'positive', 'emerged', 'from', '90', 'minutes', 'of', 'scuffling', 'that', 'made', 'one', 'almost', 'yearn', 'for', 'the', 'more', 'measured', 'boredom', 'of', 'rangers', ""'"", 'european', 'cup', 'exit', 'in', 'munich', 'three', 'days', 'earlier', '.']"
325,"[1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0]","[1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0]","['this', 'contribution', 'also', 'indicates', 'the', 'wide', 'variety', 'of', 'groups', 'that', 'are', 'involved', 'in', 'monitoring', 'environmental', 'change', 'and', 'draws', 'attention', 'to', 'the', 'role', 'that', 'the', 'european', 'community', 'is', 'increasingly', 'playing', 'in', 'co-ordinating', 'these', 'efforts', '.']"
326,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['but', 'we', 'wo', ""n't"", 'be', 'going', 'home', ',', 'we', ""'ll"", 'be', 'going', 'to', 'york']"
327,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['i', 'mean', ',', 'i', 'do', ""n't"", 'know', 'i', ',', 'you', 'see', 'i', 'left', 'i', 'had', 'to', 'come', 'here', 'so', 'i', 'left', 'before', 'bob', 'monkhouse', 'and', 'everything', ',', 'i', 'just', ',', 'i', ',', 'all', 'i', 'did', 'was', 'go', 'for', 'couple', 'of', 'free', 'drinks', 'and', 'plate', 'of', 'free', 'food', ',', 'which', ',', 'i', 'do', ""n't"", 'think', 'i', 'got', '.']"
328,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0]","['sentiment', ',', 'loyalty', ',', 'service', 'and', 'track', 'record', ',', 'none', 'of', 'these', 'things', 'will', 'come', 'into', 'it', '.']"
329,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]","['but', ""let's"", 'not', 'forget', 'we', ""'ve"", 'still', 'got', 'a', 'crisis', 'on', '.']"
330,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]","['while', 'you', 'are', 'working', 'through', 'this', 'process', ',', 'take', 'note', 'of', 'the', 'features', 'in', 'the', 'garden', 'that', 'you', 'would', 'like', 'to', 'keep', '.']"
331,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","['and', 'good', 'russians', ',', 'i', 'suppose', '.']"
332,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","['mrs', 'thatcher', ',', 'a', 'recent', 'convert', 'to', 'environmental', 'conservation', ',', 'clearly', 'held', 'the', 'opinion', 'that', 'environmental', 'problems', 'are', 'not', 'only', 'soluble', 'but', 'that', 'solving', 'them', 'can', 'be', 'shown', 'to', 'be', 'cost-effective', ':']"
333,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['she', 'said', 'ooh', ',', 'you', 'know', 'can', 'i', 'invite', 'a', 'couple', 'of', 'friends', ',', 'can', 'i', 'invite', 'sort', 'of', 'you', 'know', ',', 'people', 'back', 'to', 'lunch', 'but', 'when', 'it', ""'s"", 'sort', 'of', 'the', 'list', 'i', 'mean', ',', 'cos', 'i', 'i', ""'m"", 'not']"
334,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['and', 'i', 'went', 'down', ',', 'i', 'went', 'somewhere', 'else', 'there', 'was', 'a', 'few', 'places', 'i', 'saw', 'them', 'so', 'erm', 'i', 'said', 'to', ',', 'i', 'said', 'to', 'robert', 'now', 'you', 'know', 'those', 'shirts', ',', 'that', 'shirt', 'i', 'bought', 'you', 'for', 'christmas', '?']"
335,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['to', 'name', 'an', 'object', 'is', 'to', 'suppress', 'three-quarters', 'of', 'the', 'enjoyment', 'of', 'the', 'poem', ',', 'which', 'is', 'created', 'by', 'the', 'gradual', 'pleasure', 'of', 'apprehending', 'it', '.']"
336,"[0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0]","['they', 'lost', 'over', 'â\x92ã\x87ã\x8eâ£4,000', 'dealing', 'with', 'two', 'letting', 'agencies', 'which', 'closed', 'down', 'without', 'paying', 'them', 'the', 'rent', 'and', 'tenants', ""'"", 'deposit', 'owed', 'on', 'their', 'wembley', 'flat', '.']"
337,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","['the', 'chapter', 'as', 'a', 'whole', 'draws', 'attention', 'to', 'a', 'number', 'of', 'key', 'methodological', 'issues', 'that', 'are', 'involved', 'in', 'environmental', 'monitoring', 'and', 'prediction', '.']"
338,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['particular', 'attention', 'should', 'be', 'focused', 'on', 'hospital', 'incinerators', ',', 'since', 'these', 'have', 'been', 'subject', 'to', 'crown', 'immunity', 'for', 'many', 'years', 'and', 'most', 'are', 'technically', 'ill-equipped', 'to', 'burn', 'at', 'sufficiently', 'high', 'temperatures', 'for', 'adequate', 'disposal', 'of', 'wastes', '(', 'gatrell', 'and', 'lovett', '1991', ')', '.']"
339,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]","['no', ',', 'but', 'you', 'also', 'like', 'playing', 'with', 'fire', '.']"
340,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","['go', 'away', '!']"
341,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]","['but', 'within', 'a', 'month', ',', 'she', 'could', ""n't"", 'get', 'through', 'the', 'day', 'without', 'tranquillizers', ';', 'she', 'felt', 'less', 'anxious', ',', 'calmer', '.']"
342,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['paul', 'harrison', ""'s"", 'inside', 'the', 'inner', 'city', ':', 'life', 'under', 'the', 'cutting', 'edge', 'focused', 'on', 'hackney', ',', 'a', 'london', 'borough', 'ranked', 'among', 'the', 'worst', 'off', 'on', 'any', 'scale', 'of', 'urban', 'deprivation', '(', 'harrison', ',', '1983', ')', '.']"
343,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['i', 'know', 'it', 'drives', 'you', 'mad', ',', 'the', 'music', 'but', 'er']"
344,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","['so', 'i', 'thought', 'well', '!']"
345,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 1]","[0, 0, 0, 1, 0, 0, 1]","['it', 'was', 'interesting', 'discussing', 'various', 'chaps', 'after']"
346,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","['many', 'documents', 'are', 'written', 'on', 'the', 'implicit', 'assumption', 'that', 'the', 'reader', 'is', 'much', 'like', 'the', 'writer', 'in', 'terms', 'of', 'expertise', 'and', 'style', 'of', 'thinking', '.']"
347,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]","[1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]","[1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]","['from', 'the', 'resulting', 'corner', 'rhodes', 'made', 'another', 'fine', 'save', ',', 'hurtling', 'to', 'his', 'right', 'to', 'deflect', 'away', 'dixon', ""'s"", 'rising', 'shot', '.']"
348,"[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","['like', 'that', 'still', 'unnerve', 'me', '.']"
349,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['similarly', 'it', 'is', 'assumed', 'that', 'the', 'conditions', 'under', 'which', 'the', 'reading', 'will', 'take', 'place', 'are', 'the', 'same', 'as', 'those', 'of', 'writing', 'which', 'are', 'usually', 'a', 'clean', 'well-lit', 'office', '.']"
